yyyy/mmdd(or -ddd)/hh.h):2008/1201/ 0.0LT  geog Lat/Long/Alt=-25.0/ 125.0/ 300.0

NeQuick is used for topside Ne profile
URSI maps are used for the F2 peak density (NmF2)
foF2 STORM model is turned on 
Shubin2015model is used for F2 peak height (hmF2)
ABT-2009 option is used for the bottomside thickness parameter B0
Scotto-97 no L   option is used for the F1 occurrence probability
foE auroral storm model is turned off
IRI-1990   option is used for D-region
TBT-2012 with solar dependence is used for the electron temperature
RBV10+TBT15 option is used for ion composition
CGM coordinates not computed
auroral boundaries not computed

Peak Densities/cm-3: NmF2= 215695.8   NmF1=      0.0   NmE=   1656.6
Peak Heights/km:     hmF2=   291.82   hmF1=     0.00   hmE=   110.00

Solar Zenith Angle/degree                             132.9
Dip (Magnetic Inclination)/degree                     -57.90
Modip (Modified Dip)/degree                           -46.71
Solar Sunspot Number (12-months running mean) Rz12      1.7           
Ionospheric-Effective Solar Index IG12                 -9.4           
Solar radio flux F10.7 (daily)                         66.2           
Solar radio flux F10.7 (81-day average)                67.0           

TEC [1.E16 m-2] is obtained by numerical integration in 1km steps
  from 50 to 2000.0 km. t is the percentage of TEC above the F peak.

-
   H   ELECTRON DENSITY   TEMPERATURES      ION PERCENTAGES[%]*10    1E16m-2
   km  Ne/cm-3 Ne/NmF2 Tn/K  Ti/K  Te/K  O+  N+  H+ He+ O2+ NO+ Clust TEC t/%
   0.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   5.1  78
   5.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   5.1  78
  10.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   5.1  78
  15.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   5.1  78
  20.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   5.1  78
  25.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   5.1  78
  30.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   5.1  78
  35.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   5.1  78
  40.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   5.1  78
  45.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   5.1  78
  50.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   5.1  78
  55.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   5.1  78
  60.0      -1 -1.000   246   246   246  -1  -1  -1  -1  -1  -1  -1   5.1  78
  65.0      -1 -1.000   233   233   233  -1  -1  -1  -1  -1  -1  -1   5.1  78
  70.0      -1 -1.000   220   220   220  -1  -1  -1  -1  -1  -1  -1   5.1  78
  75.0      -1 -1.000   210   210   210  -1  -1  -1  -1  -1  -1  -1   5.1  78
  80.0       1  0.000   210   210   210   0   0   0   0   01000  -1   5.1  78
  85.0     261  0.001   213   213   213   0   0   0   0   2 998  -1   5.1  78
  90.0     479  0.002   208   208   208   0   0   0   0   4 996  -1   5.1  78
