yyyy/mmdd(or -ddd)/hh.h):2000/ 101/ 0.0LT  geog Lat/Long/Alt=-25.0/ 125.0/ 300.0

NeQuick is used for topside Ne profile
URSI maps are used for the F2 peak density (NmF2)
foF2 STORM model is turned on 
Shubin2015model is used for F2 peak height (hmF2)
ABT-2009 option is used for the bottomside thickness parameter B0
Scotto-97 no L   option is used for the F1 occurrence probability
foE auroral storm model is turned off
IRI-1990   option is used for D-region
TBT-2012 with solar dependence is used for the electron temperature
RBV10+TBT15 option is used for ion composition
CGM coordinates not computed
auroral boundaries not computed

Peak Densities/cm-3: NmF2= 647027.2   NmF1=      0.0   NmE=   3591.0
Peak Heights/km:     hmF2=   339.66   hmF1=     0.00   hmE=   110.00

Solar Zenith Angle/degree                             132.0
Dip (Magnetic Inclination)/degree                     -58.20
Modip (Modified Dip)/degree                           -46.86
Solar Sunspot Number (12-months running mean) Rz12    112.1           
Ionospheric-Effective Solar Index IG12                126.4           
Solar radio flux F10.7 (daily)                        125.6           
Solar radio flux F10.7 (81-day average)               158.6           

TEC [1.E16 m-2] is obtained by numerical integration in 1km steps
  from 50 to 2000.0 km. t is the percentage of TEC above the F peak.

-
   H   ELECTRON DENSITY   TEMPERATURES      ION PERCENTAGES[%]*10    1E16m-2
   km  Ne/cm-3 Ne/NmF2 Tn/K  Ti/K  Te/K  O+  N+  H+ He+ O2+ NO+ Clust TEC t/%
   0.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  17.7  76
   5.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  17.7  76
  10.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  17.7  76
  15.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  17.7  76
  20.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  17.7  76
  25.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  17.7  76
  30.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  17.7  76
  35.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  17.7  76
  40.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  17.7  76
  45.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  17.7  76
  50.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  17.7  76
  55.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  17.7  76
  60.0      -1 -1.000   247   247   247  -1  -1  -1  -1  -1  -1  -1  17.7  76
  65.0      -1 -1.000   233   233   233  -1  -1  -1  -1  -1  -1  -1  17.7  76
  70.0      -1 -1.000   218   218   218  -1  -1  -1  -1  -1  -1  -1  17.7  76
  75.0      -1 -1.000   207   207   207  -1  -1  -1  -1  -1  -1  -1  17.7  76
  80.0       1  0.000   201   201   201   0   0   0   0   01000  -1  17.7  76
  85.0     258  0.000   198   198   198   0   0   0   0   2 998  -1  17.7  76
  90.0     478  0.001   195   195   195   0   0   0   0   4 996  -1  17.7  76
