yyyy/mmdd(or -ddd)/hh.h):2008/ 101/18.0LT  geog Lat/Long/Alt=-25.0/ 125.0/ 300.0

NeQuick is used for topside Ne profile
URSI maps are used for the F2 peak density (NmF2)
foF2 STORM model is turned on 
Shubin2015model is used for F2 peak height (hmF2)
ABT-2009 option is used for the bottomside thickness parameter B0
Scotto-97 no L   option is used for the F1 occurrence probability
foE auroral storm model is turned off
IRI-1990   option is used for D-region
TBT-2012 with solar dependence is used for the electron temperature
RBV10+TBT15 option is used for ion composition
CGM coordinates not computed
auroral boundaries not computed

Peak Densities/cm-3: NmF2= 464845.1   NmF1=      0.0   NmE=  51374.9
Peak Heights/km:     hmF2=   268.57   hmF1=     0.00   hmE=   110.00

Solar Zenith Angle/degree                              79.7
Dip (Magnetic Inclination)/degree                     -57.93
Modip (Modified Dip)/degree                           -46.73
Solar Sunspot Number (12-months running mean) Rz12      4.5           
Ionospheric-Effective Solar Index IG12                 -5.5           
Solar radio flux F10.7 (daily)                         76.7           
Solar radio flux F10.7 (81-day average)                72.9           

TEC [1.E16 m-2] is obtained by numerical integration in 1km steps
  from 50 to 2000.0 km. t is the percentage of TEC above the F peak.

-
   H   ELECTRON DENSITY   TEMPERATURES      ION PERCENTAGES[%]*10    1E16m-2
   km  Ne/cm-3 Ne/NmF2 Tn/K  Ti/K  Te/K  O+  N+  H+ He+ O2+ NO+ Clust TEC t/%
   0.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  11.8  73
   5.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  11.8  73
  10.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  11.8  73
  15.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  11.8  73
  20.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  11.8  73
  25.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  11.8  73
  30.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  11.8  73
  35.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  11.8  73
  40.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  11.8  73
  45.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  11.8  73
  50.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  11.8  73
  55.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  11.8  73
  60.0      -1 -1.000   244   244   244  -1  -1  -1  -1  -1  -1  -1  11.8  73
  65.0      21  0.000   225   225   225  -1  -1  -1  -1  -1  -1  -1  11.8  73
  70.0     103  0.000   209   209   209  -1  -1  -1  -1  -1  -1  -1  11.8  73
  75.0     241  0.001   199   199   199  -1  -1  -1  -1  -1  -1  -1  11.8  73
  80.0     361  0.001   194   194   194   0   0   0   0   3 997  -1  11.8  73
  85.0     561  0.001   190   190   190   0   0   0   0   5 995  -1  11.8  73
  90.0    5333  0.011   183   183   183   0   0   0   0  46 954  -1  11.8  73
