yyyy/mmdd(or -ddd)/hh.h):2008/ 601/ 0.0LT  geog Lat/Long/Alt=-25.0/ 125.0/ 300.0

NeQuick is used for topside Ne profile
URSI maps are used for the F2 peak density (NmF2)
foF2 STORM model is turned on 
Shubin2015model is used for F2 peak height (hmF2)
ABT-2009 option is used for the bottomside thickness parameter B0
Scotto-97 no L   option is used for the F1 occurrence probability
foE auroral storm model is turned off
IRI-1990   option is used for D-region
TBT-2012 with solar dependence is used for the electron temperature
RBV10+TBT15 option is used for ion composition
CGM coordinates not computed
auroral boundaries not computed

Peak Densities/cm-3: NmF2= 122943.9   NmF1=      0.0   NmE=   1680.8
Peak Heights/km:     hmF2=   273.02   hmF1=     0.00   hmE=   110.00

Solar Zenith Angle/degree                             177.2
Dip (Magnetic Inclination)/degree                     -57.92
Modip (Modified Dip)/degree                           -46.72
Solar Sunspot Number (12-months running mean) Rz12      3.4           
Ionospheric-Effective Solar Index IG12                 -8.6           
Solar radio flux F10.7 (daily)                         68.5           
Solar radio flux F10.7 (81-day average)                69.0           

TEC [1.E16 m-2] is obtained by numerical integration in 1km steps
  from 50 to 2000.0 km. t is the percentage of TEC above the F peak.

-
   H   ELECTRON DENSITY   TEMPERATURES      ION PERCENTAGES[%]*10    1E16m-2
   km  Ne/cm-3 Ne/NmF2 Tn/K  Ti/K  Te/K  O+  N+  H+ He+ O2+ NO+ Clust TEC t/%
   0.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   3.0  76
   5.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   3.0  76
  10.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   3.0  76
  15.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   3.0  76
  20.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   3.0  76
  25.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   3.0  76
  30.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   3.0  76
  35.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   3.0  76
  40.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   3.0  76
  45.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   3.0  76
  50.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   3.0  76
  55.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   3.0  76
  60.0      -1 -1.000   241   241   241  -1  -1  -1  -1  -1  -1  -1   3.0  76
  65.0      -1 -1.000   227   227   227  -1  -1  -1  -1  -1  -1  -1   3.0  76
  70.0      -1 -1.000   217   217   217  -1  -1  -1  -1  -1  -1  -1   3.0  76
  75.0      -1 -1.000   210   210   210  -1  -1  -1  -1  -1  -1  -1   3.0  76
  80.0       1  0.000   197   197   197   0   0   0   0   01000  -1   3.0  76
  85.0     248  0.002   184   184   184   0   0   0   0   2 998  -1   3.0  76
  90.0     473  0.004   178   178   178   0   0   0   0   4 996  -1   3.0  76
