yyyy/mmdd(or -ddd)/hh.h):2000/ 101/18.0LT  geog Lat/Long/Alt=-25.0/ 125.0/ 300.0

NeQuick is used for topside Ne profile
URSI maps are used for the F2 peak density (NmF2)
foF2 STORM model is turned on 
Shubin2015model is used for F2 peak height (hmF2)
ABT-2009 option is used for the bottomside thickness parameter B0
Scotto-97 no L   option is used for the F1 occurrence probability
foE auroral storm model is turned off
IRI-1990   option is used for D-region
TBT-2012 with solar dependence is used for the electron temperature
RBV10+TBT15 option is used for ion composition
CGM coordinates not computed
auroral boundaries not computed

Peak Densities/cm-3: NmF2= 789283.6   NmF1=      0.0   NmE=  71168.4
Peak Heights/km:     hmF2=   319.75   hmF1=     0.00   hmE=   110.00

Solar Zenith Angle/degree                              79.7
Dip (Magnetic Inclination)/degree                     -58.20
Modip (Modified Dip)/degree                           -46.86
Solar Sunspot Number (12-months running mean) Rz12    112.1           
Ionospheric-Effective Solar Index IG12                126.4           
Solar radio flux F10.7 (daily)                        125.6           
Solar radio flux F10.7 (81-day average)               158.6           

TEC [1.E16 m-2] is obtained by numerical integration in 1km steps
  from 50 to 2000.0 km. t is the percentage of TEC above the F peak.

-
   H   ELECTRON DENSITY   TEMPERATURES      ION PERCENTAGES[%]*10    1E16m-2
   km  Ne/cm-3 Ne/NmF2 Tn/K  Ti/K  Te/K  O+  N+  H+ He+ O2+ NO+ Clust TEC t/%
   0.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  23.4  72
   5.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  23.4  72
  10.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  23.4  72
  15.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  23.4  72
  20.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  23.4  72
  25.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  23.4  72
  30.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  23.4  72
  35.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  23.4  72
  40.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  23.4  72
  45.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  23.4  72
  50.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  23.4  72
  55.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  23.4  72
  60.0      -1 -1.000   244   244   244  -1  -1  -1  -1  -1  -1  -1  23.4  72
  65.0      21  0.000   225   225   225  -1  -1  -1  -1  -1  -1  -1  23.4  72
  70.0     103  0.000   209   209   209  -1  -1  -1  -1  -1  -1  -1  23.4  72
  75.0     241  0.000   198   198   198  -1  -1  -1  -1  -1  -1  -1  23.4  72
  80.0     361  0.000   188   188   188   0   0   0   0   3 997  -1  23.4  72
  85.0     561  0.001   181   181   181   0   0   0   0   5 995  -1  23.4  72
  90.0    5497  0.007   175   175   175   0   0   0   0  49 951  -1  23.4  72
