yyyy/mmdd(or -ddd)/hh.h):2012/ 330/ 6.0UT  geog Lat/Long/Alt= 19.0/  69.0/ 300.0

NeQuick is used for topside Ne profile
URSI maps are used for the F2 peak density (NmF2)
foF2 STORM model is turned on 
Shubin2015model is used for F2 peak height (hmF2)
ABT-2009 option is used for the bottomside thickness parameter B0
Scotto-97 no L   option is used for the F1 occurrence probability
foE auroral storm model is turned off
IRI-1990   option is used for D-region
TBT-2012 with solar dependence is used for the electron temperature
RBV10+TBT15 option is used for ion composition
CGM coordinates not computed
auroral boundaries not computed

Peak Densities/cm-3: NmF2=1876059.2   NmF1= 311120.7   NmE= 168230.2
Peak Heights/km:     hmF2=   347.22   hmF1=   156.81   hmE=   110.00

Solar Zenith Angle/degree                              25.9
Dip (Magnetic Inclination)/degree                      26.81
Modip (Modified Dip)/degree                            25.70
Solar Sunspot Number (12-months running mean) Rz12     65.7           
Ionospheric-Effective Solar Index IG12                 80.1           
Solar radio flux F10.7 (daily)                        110.4           
Solar radio flux F10.7 (81-day average)               113.1           

TEC [1.E16 m-2] is obtained by numerical integration in 1km steps
  from 50 to 2000.0 km. t is the percentage of TEC above the F peak.

-
   H   ELECTRON DENSITY   TEMPERATURES      ION PERCENTAGES[%]*10    1E16m-2
   km  Ne/cm-3 Ne/NmF2 Tn/K  Ti/K  Te/K  O+  N+  H+ He+ O2+ NO+ Clust TEC t/%
   0.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  55.3  58
   5.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  55.3  58
  10.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  55.3  58
  15.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  55.3  58
  20.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  55.3  58
  25.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  55.3  58
  30.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  55.3  58
  35.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  55.3  58
  40.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  55.3  58
  45.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  55.3  58
  50.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  55.3  58
  55.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  55.3  58
  60.0      -1 -1.000   243   243   243  -1  -1  -1  -1  -1  -1  -1  55.3  58
  65.0     115  0.000   230   230   230  -1  -1  -1  -1  -1  -1  -1  55.3  58
  70.0     413  0.000   219   219   219  -1  -1  -1  -1  -1  -1  -1  55.3  58
  75.0     772  0.000   212   212   212  -1  -1  -1  -1  -1  -1  -1  55.3  58
  80.0    1002  0.001   205   205   205   0   0   0   0   7 993  -1  55.3  58
  85.0    2030  0.001   198   198   198   0   0   0   0  16 984  -1  55.3  58
  90.0   21857  0.012   190   190   190   0   0   0   0 151 849  -1  55.3  58
