yyyy/mmdd(or -ddd)/hh.h):2012/ 330/ 0.0UT  geog Lat/Long/Alt= 69.0/  19.0/ 300.0

NeQuick is used for topside Ne profile
URSI maps are used for the F2 peak density (NmF2)
foF2 STORM model is turned on 
Shubin2015model is used for F2 peak height (hmF2)
ABT-2009 option is used for the bottomside thickness parameter B0
Scotto-97 no L   option is used for the F1 occurrence probability
foE auroral storm model is turned off
IRI-1990   option is used for D-region
TBT-2012 with solar dependence is used for the electron temperature
RBV10+TBT15 option is used for ion composition
CGM coordinates not computed
auroral boundaries not computed

Peak Densities/cm-3: NmF2= 156826.9   NmF1=      0.0   NmE=   2737.3
Peak Heights/km:     hmF2=   308.43   hmF1=     0.00   hmE=   110.00

Solar Zenith Angle/degree                             105.4
Dip (Magnetic Inclination)/degree                      77.77
Modip (Modified Dip)/degree                            66.20
Solar Sunspot Number (12-months running mean) Rz12     65.7           
Ionospheric-Effective Solar Index IG12                 80.1           
Solar radio flux F10.7 (daily)                        110.4           
Solar radio flux F10.7 (81-day average)               113.1           

TEC [1.E16 m-2] is obtained by numerical integration in 1km steps
  from 50 to 2000.0 km. t is the percentage of TEC above the F peak.

-
   H   ELECTRON DENSITY   TEMPERATURES      ION PERCENTAGES[%]*10    1E16m-2
   km  Ne/cm-3 Ne/NmF2 Tn/K  Ti/K  Te/K  O+  N+  H+ He+ O2+ NO+ Clust TEC t/%
   0.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   4.6  74
   5.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   4.6  74
  10.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   4.6  74
  15.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   4.6  74
  20.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   4.6  74
  25.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   4.6  74
  30.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   4.6  74
  35.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   4.6  74
  40.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   4.6  74
  45.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   4.6  74
  50.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   4.6  74
  55.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   4.6  74
  60.0      -1 -1.000   248   248   248  -1  -1  -1  -1  -1  -1  -1   4.6  74
  65.0      -1 -1.000   239   239   239  -1  -1  -1  -1  -1  -1  -1   4.6  74
  70.0      -1 -1.000   229   229   229  -1  -1  -1  -1  -1  -1  -1   4.6  74
  75.0      -1 -1.000   217   217   217  -1  -1  -1  -1  -1  -1  -1   4.6  74
  80.0      47  0.000   211   211   211   0   0   0   0   01000  -1   4.6  74
  85.0     348  0.002   206   206   206   0   0   0   0   3 997  -1   4.6  74
  90.0     592  0.004   197   197   197   0   0   0   0   5 995  -1   4.6  74
