yyyy/mmdd(or -ddd)/hh.h):2012/ 330/ 6.0UT  geog Lat/Long/Alt= 69.0/  19.0/ 300.0

NeQuick is used for topside Ne profile
URSI maps are used for the F2 peak density (NmF2)
foF2 STORM model is turned on 
Shubin2015model is used for F2 peak height (hmF2)
ABT-2009 option is used for the bottomside thickness parameter B0
Scotto-97 no L   option is used for the F1 occurrence probability
foE auroral storm model is turned off
IRI-1990   option is used for D-region
TBT-2012 with solar dependence is used for the electron temperature
RBV10+TBT15 option is used for ion composition
CGM coordinates not computed
auroral boundaries not computed

Peak Densities/cm-3: NmF2= 298216.5   NmF1=      0.0   NmE=  59642.1
Peak Heights/km:     hmF2=   257.10   hmF1=     0.00   hmE=   110.00

Solar Zenith Angle/degree                              79.3
Dip (Magnetic Inclination)/degree                      77.77
Modip (Modified Dip)/degree                            66.20
Solar Sunspot Number (12-months running mean) Rz12     65.7           
Ionospheric-Effective Solar Index IG12                 80.1           
Solar radio flux F10.7 (daily)                        110.4           
Solar radio flux F10.7 (81-day average)               113.1           

TEC [1.E16 m-2] is obtained by numerical integration in 1km steps
  from 50 to 2000.0 km. t is the percentage of TEC above the F peak.

-
   H   ELECTRON DENSITY   TEMPERATURES      ION PERCENTAGES[%]*10    1E16m-2
   km  Ne/cm-3 Ne/NmF2 Tn/K  Ti/K  Te/K  O+  N+  H+ He+ O2+ NO+ Clust TEC t/%
   0.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   9.2  70
   5.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   9.2  70
  10.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   9.2  70
  15.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   9.2  70
  20.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   9.2  70
  25.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   9.2  70
  30.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   9.2  70
  35.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   9.2  70
  40.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   9.2  70
  45.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   9.2  70
  50.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   9.2  70
  55.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   9.2  70
  60.0      -1 -1.000   247   247   247  -1  -1  -1  -1  -1  -1  -1   9.2  70
  65.0      60  0.000   237   237   237  -1  -1  -1  -1  -1  -1  -1   9.2  70
  70.0     154  0.001   226   226   226  -1  -1  -1  -1  -1  -1  -1   9.2  70
  75.0     271  0.001   215   215   215  -1  -1  -1  -1  -1  -1  -1   9.2  70
  80.0     378  0.001   206   206   206   0   0   0   0   3 997  -1   9.2  70
  85.0     777  0.003   200   200   200   0   0   0   0   6 994  -1   9.2  70
  90.0    7567  0.025   191   191   191   0   0   0   0  62 938  -1   9.2  70
