yyyy/mmdd(or -ddd)/hh.h):2000/ 101/12.0LT  geog Lat/Long/Alt=-25.0/ 125.0/ 300.0

IRIcor2 is used for topside Ne profile
URSI maps are used for the F2 peak density (NmF2)
foF2 STORM model is turned on 
Shubin2015model is used for F2 peak height (hmF2)
ABT-2009 option is used for the bottomside thickness parameter B0
Scotto-97 no L   option is used for the F1 occurrence probability
foE auroral storm model is turned off
IRI-1990   option is used for D-region
TBT-2012 with solar dependence is used for the electron temperature
Tru-2021 option is used for the ion temperature
RBV10+TBT15 option is used for ion composition
CGM coordinates not computed
auroral boundaries not computed

Peak Densities/cm-3: NmF2=1103864.4   NmF1= 382225.0   NmE= 198433.7
Peak Heights/km:     hmF2=   321.64   hmF1=   194.04   hmE=   110.00

Solar Zenith Angle/degree                               2.2
Dip (Magnetic Inclination)/degree                     -58.20
Modip (Modified Dip)/degree                           -46.86
Solar Sunspot Number (12-months running mean) Rz12    112.1           
Ionospheric-Effective Solar Index IG12                126.4           
Solar radio flux F10.7 (daily)                        125.6           
Solar radio flux F10.7 (81-day average)               158.6           

TEC [1.E16 m-2] is obtained by numerical integration in 1km steps
  from 50 to 2000.0 km. t is the percentage of TEC above the F peak.

-
   H   ELECTRON DENSITY   TEMPERATURES      ION PERCENTAGES[%]*10    1E16m-2
   km  Ne/cm-3 Ne/NmF2 Tn/K  Ti/K  Te/K  O+  N+  H+ He+ O2+ NO+ Clust TEC t/%
   0.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  38.7  69
   5.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  38.7  69
  10.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  38.7  69
  15.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  38.7  69
  20.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  38.7  69
  25.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  38.7  69
  30.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  38.7  69
  35.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  38.7  69
  40.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  38.7  69
  45.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  38.7  69
  50.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  38.7  69
  55.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  38.7  69
  60.0      -1 -1.000   247   247   247  -1  -1  -1  -1  -1  -1  -1  38.7  69
  65.0     212  0.000   232   232   232  -1  -1  -1  -1  -1  -1  -1  38.7  69
  70.0     571  0.001   218   218   218  -1  -1  -1  -1  -1  -1  -1  38.7  69
  75.0    1006  0.001   206   206   206  -1  -1  -1  -1  -1  -1  -1  38.7  69
  80.0    1374  0.001   198   198   198   0   0   0   0  10 990  -1  38.7  69
  85.0    2889  0.003   193   193   193   0   0   0   0  23 977  -1  38.7  69
  90.0   28171  0.026   189   189   189   0   0   0   0 189 811  -1  38.7  69
