yyyy/mmdd(or -ddd)/hh.h):2008/ 101/ 0.0LT  geog Lat/Long/Alt=-25.0/ 125.0/ 300.0

IRIcor2 is used for topside Ne profile
URSI maps are used for the F2 peak density (NmF2)
foF2 STORM model is turned on 
Shubin2015model is used for F2 peak height (hmF2)
ABT-2009 option is used for the bottomside thickness parameter B0
Scotto-97 no L   option is used for the F1 occurrence probability
foE auroral storm model is turned off
IRI-1990   option is used for D-region
TBT-2012 with solar dependence is used for the electron temperature
Tru-2021 option is used for the ion temperature
RBV10+TBT15 option is used for ion composition
CGM coordinates not computed
auroral boundaries not computed

Peak Densities/cm-3: NmF2= 217087.3   NmF1=      0.0   NmE=   1695.7
Peak Heights/km:     hmF2=   291.56   hmF1=     0.00   hmE=   110.00

Solar Zenith Angle/degree                             132.0
Dip (Magnetic Inclination)/degree                     -57.93
Modip (Modified Dip)/degree                           -46.73
Solar Sunspot Number (12-months running mean) Rz12      4.5           
Ionospheric-Effective Solar Index IG12                 -5.5           
Solar radio flux F10.7 (daily)                         76.7           
Solar radio flux F10.7 (81-day average)                72.9           

TEC [1.E16 m-2] is obtained by numerical integration in 1km steps
  from 50 to 2000.0 km. t is the percentage of TEC above the F peak.

-
   H   ELECTRON DENSITY   TEMPERATURES      ION PERCENTAGES[%]*10    1E16m-2
   km  Ne/cm-3 Ne/NmF2 Tn/K  Ti/K  Te/K  O+  N+  H+ He+ O2+ NO+ Clust TEC t/%
  80.0       1  0.000   208   208   208   0   0   0   0   01000  -1   4.2  73
  85.0     258  0.001   209   209   209   0   0   0   0   2 998  -1   4.2  73
  90.0     478  0.002   204   204   204   0   0   0   0   4 996  -1   4.2  73
  95.0    1387  0.006   189   189   189   0   0   0   0  14 986  -1   4.2  73
 100.0    1651  0.008   178   178   178   0   0   0   0  22 978  -1   4.2  73
 105.0    1694  0.008   183   183   183   0   0   0   0  29 971  -1   4.2  73
 110.0    1696  0.008   206   206   206   0   0   0   0  33 967  -1   4.2  73
 115.0    1389  0.006   256   256   256   0   0   0   0  29 971  -1   4.2  73
 120.0     912  0.004   336   336   336   0   0   0   0  19 981  -1   4.2  73
 125.0     586  0.003   414   414   414   0   0   0   0  12 988  -1   4.2  73
 130.0     417  0.002   471   471   471   0   0   0   0   9 991  -1   4.2  73
 135.0     349  0.002   518   518   518   0   0   0   0   8 992  -1   4.2  73
 140.0     346  0.002   556   556   556   0   0   0   0   9 991  -1   4.2  73
 145.0     396  0.002   587   587   587   0   0   0   0  11 989  -1   4.2  73
 150.0     501  0.002   613   613   624   1   0   0   0  15 984  -1   4.2  73
 155.0     664  0.003   633   633   654   1   0   0   0  22 977  -1   4.2  73
 160.0     879  0.004   651   651   675   2   0   0   0  31 967  -1   4.2  73
 165.0    1137  0.005   664   664   691   4   0   0   0  43 953  -1   4.2  73
 170.0    1452  0.007   676   676   705   6   0   0   0  59 935  -1   4.2  73
 175.0    2002  0.009   685   685   717  12   0   0   0  83 905  -1   4.2  73
 180.0    2933  0.014   693   693   730  22   0   0   0 121 857  -1   4.2  73
 185.0    4274  0.020   699   699   742  41   0   0   0 166 793  -1   4.2  73
