yyyy/mmdd(or -ddd)/hh.h):2008/ 201/12.0LT  geog Lat/Long/Alt= 10.0/ 110.0/  80.0

IRIcor2 is used for topside Ne profile
URSI maps are used for the F2 peak density (NmF2)
foF2 STORM model is turned on 
Shubin2015model is used for F2 peak height (hmF2)
ABT-2009 option is used for the bottomside thickness parameter B0
Scotto-97 no L   option is used for the F1 occurrence probability
foE auroral storm model is turned off
IRI-1990   option is used for D-region
TBT-2012 with solar dependence is used for the electron temperature
Tru-2021 option is used for the ion temperature
RBV10+TBT15 option is used for ion composition
CGM coordinates not computed
auroral boundaries not computed

Peak Densities/cm-3: NmF2= 475353.3   NmF1= 234626.5   NmE= 137475.6
Peak Heights/km:     hmF2=   304.40   hmF1=   190.75   hmE=   110.00

Solar Zenith Angle/degree                              27.0
Dip (Magnetic Inclination)/degree                       5.30
Modip (Modified Dip)/degree                             5.33
Solar Sunspot Number (12-months running mean) Rz12      3.9           
Ionospheric-Effective Solar Index IG12                 -6.8           
Solar radio flux F10.7 (daily)                         69.0           
Solar radio flux F10.7 (81-day average)                70.4           

TEC [1.E16 m-2] is obtained by numerical integration in 1km steps
  from 50 to 1500.0 km. t is the percentage of TEC above the F peak.

-
   H   ELECTRON DENSITY   TEMPERATURES      ION PERCENTAGES[%]*10    1E16m-2
   km  Ne/cm-3 Ne/NmF2 Tn/K  Ti/K  Te/K  O+  N+  H+ He+ O2+ NO+ Clust TEC t/%
   0.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  20.6  71
   5.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  20.6  71
  10.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  20.6  71
  15.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  20.6  71
  20.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  20.6  71
  25.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  20.6  71
  30.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  20.6  71
  35.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  20.6  71
  40.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  20.6  71
  45.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  20.6  71
  50.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  20.6  71
  55.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  20.6  71
  60.0      -1 -1.000   247   247   247  -1  -1  -1  -1  -1  -1  -1  20.6  71
  65.0      57  0.000   229   229   229  -1  -1  -1  -1  -1  -1  -1  20.6  71
  70.0     224  0.000   216   216   216  -1  -1  -1  -1  -1  -1  -1  20.6  71
  75.0     426  0.001   210   210   210  -1  -1  -1  -1  -1  -1  -1  20.6  71
  80.0     542  0.001   204   204   204   0   0   0   0   4 996  -1  20.6  71
  85.0    1093  0.002   198   198   198   0   0   0   0   9 991  -1  20.6  71
  90.0   12834  0.027   189   189   189   0   0   0   0  95 905  -1  20.6  71
